building_id,edge_no,x_epsg5179,y_epsg5179,lat,lon,alt
BLD01000000366ZOC,3,1163862.9411978116,1732519.402315289,35.57516501869998,129.3083735542375,173.800003
BLD01000000366ZOC,3,1163862.9411978116,1732519.402315289,35.57516501869998,129.3083735542375,179.899994
BLD01000000366ZOC,3,1163868.3787675442,1732527.0237790437,35.57523280380988,129.3084350802285,179.899994
BLD01000000366ZOC,3,1163873.8163372765,1732534.6452427986,35.575300588884595,129.30849660632435,179.899994
BLD01000000366ZOC,4,1163879.253907009,1732542.2667065533,35.57536837392409,129.3085581325251,173.800003
BLD01000000366ZOC,4,1163879.253907009,1732542.2667065533,35.57536837392409,129.3085581325251,179.899994
BLD01000000366ZOC,4,1163887.4894393096,1732536.5878702195,35.57531583237125,129.30864782788325,173.800003
BLD01000000366ZOC,4,1163887.4894393096,1732536.5878702195,35.57531583237125,129.30864782788325,179.899994
BLD01000000366ZOC,4,1163895.7249716101,1732530.9090338857,35.57526329075464,129.30873752312274,173.800003
BLD01000000366ZOC,4,1163895.7249716101,1732530.9090338857,35.57526329075464,129.30873752312274,179.899994
BLD01000000366ZOC,4,1163903.9605039107,1732525.2301975521,35.575210749074266,129.3088272182436,173.800003
BLD01000000366ZOC,4,1163903.9605039107,1732525.2301975521,35.575210749074266,129.3088272182436,179.899994
BLD01000000HI6FUO,1,1163804.9765768617,1732668.1319517791,35.57651497563174,129.30776427333876,163.339996
BLD01000000HI6FUO,1,1163804.9765768617,1732668.1319517791,35.57651497563174,129.30776427333876,171.580002
BLD01000000HI6FUO,2,1163793.262409489,1732664.644508858,35.57648548495204,129.30763434606666,163.339996
BLD01000000HI6FUO,2,1163793.262409489,1732664.644508858,35.57648548495204,129.30763434606666,171.580002
BLD01000000HI6FUO,3,1163792.635204056,1732666.4997432497,35.576502308258235,129.30762780302865,163.339996
BLD01000000HI6FUO,3,1163792.635204056,1732666.4997432497,35.576502308258235,129.30762780302865,171.580002
BLD01000000HI6FUO,4,1163790.6303951747,1732665.7999261927,35.57649633318687,129.30760554591257,171.580002
BLD01000000HI6FUO,5,1163785.1347976183,1732677.9342008345,35.57660659758685,129.30754738069666,163.339996
BLD01000000HI6FUO,5,1163785.1347976183,1732677.9342008345,35.57660659758685,129.30754738069666,171.580002
BLD01000000HI6FUO,5,1163796.7174603343,1732680.569664415,35.5766284320099,129.30767568491842,163.339996
BLD01000000HI6FUO,5,1163796.7174603343,1732680.569664415,35.5766284320099,129.30767568491842,171.580002
BLD01000000HI6FUO,6,1163808.3001230506,1732683.2051279955,35.57665026629419,129.3078039892041,163.339996
BLD01000000HI6FUO,6,1163808.3001230506,1732683.2051279955,35.57665026629419,129.3078039892041,171.580002
BLD01000000HI6FUO,7,1163812.0056688709,1732672.978009789,35.576557485464704,129.30784279406103,163.339996
BLD01000000HI6FUO,7,1163812.0056688709,1732672.978009789,35.576557485464704,129.30784279406103,171.580002
BLD01000000HI6FUO,8,1163804.456630878,1732670.075186339,35.57653257425905,129.30775893134816,163.339996
BLD01000000HI6FUO,8,1163804.456630878,1732670.075186339,35.57653257425905,129.30775893134816,171.580002
BLD01000000HI6FVP,1,1163787.5909679544,1732648.381730032,35.576339861922314,129.30756848967195,167.699997
BLD01000000HI6FVP,1,1163787.5909679544,1732648.381730032,35.576339861922314,129.30756848967195,168.550003
BLD01000000HI6FVP,3,1163795.5164695277,1732661.1329790177,35.5764534657771,129.30765849971553,167.699997
BLD01000000HI6FVP,3,1163795.5164695277,1732661.1329790177,35.5764534657771,129.30765849971553,168.550003
BLD01000000HI6FVP,4,1163799.8344175166,1732654.9977439616,35.57639746002992,129.30770488897048,167.699997
BLD01000000HI6FVP,4,1163799.8344175166,1732654.9977439616,35.57639746002992,129.30770488897048,168.550003
BLD01000000HI6FVP,6,1163789.4040407466,1732649.6613861513,35.576351094284554,129.30758874911334,167.699997
BLD01000000HI6FVP,6,1163789.4040407466,1732649.6613861513,35.576351094284554,129.30758874911334,168.550003
BLD01000000HAIJ46,1,1163508.068635831,1732488.680074277,35.574946826864796,129.3044527467292,164.67499550000002
BLD01000000HAIJ46,1,1163508.068635831,1732488.680074277,35.574946826864796,129.3044527467292,175.589996
BLD01000000HAIJ46,2,1163509.7220741038,1732489.3021524285,35.57495215998707,129.30447111152685,153.759995
BLD01000000HAIJ46,2,1163509.7220741038,1732489.3021524285,35.57495215998707,129.30447111152685,164.67499550000002
BLD01000000HAIJ46,2,1163509.7220741038,1732489.3021524285,35.57495215998707,129.30447111152685,175.589996
BLD01000000HAIJ46,3,1163509.3824676701,1732490.7555995476,35.57496531469045,129.30446765919396,153.759995
BLD01000000HAIJ46,3,1163509.3824676701,1732490.7555995476,35.57496531469045,129.30446765919396,164.67499550000002
BLD01000000HAIJ46,3,1163509.3824676701,1732490.7555995476,35.57496531469045,129.30446765919396,175.589996
BLD01000000HAIJ46,4,1163518.936797871,1732495.3911174764,35.575005512239976,129.30457398999374,153.759995
BLD01000000HAIJ46,4,1163518.936797871,1732495.3911174764,35.575005512239976,129.30457398999374,164.67499550000002
BLD01000000HAIJ46,4,1163518.936797871,1732495.3911174764,35.575005512239976,129.30457398999374,175.589996
BLD01000000HAIJ46,4,1163526.1730271867,1732497.9022224937,35.575026947213914,129.30465432041242,153.759995
BLD01000000HAIJ46,4,1163526.1730271867,1732497.9022224937,35.575026947213914,129.30465432041242,164.67499550000002
BLD01000000HAIJ46,4,1163526.1730271867,1732497.9022224937,35.575026947213914,129.30465432041242,175.589996
BLD01000000HAIJ46,5,1163533.4092565025,1732500.4133275112,35.57504838213295,129.3047346508718,153.759995
BLD01000000HAIJ46,5,1163533.4092565025,1732500.4133275112,35.57504838213295,129.3047346508718,164.67499550000002
BLD01000000HAIJ46,5,1163533.4092565025,1732500.4133275112,35.57504838213295,129.3047346508718,175.589996
BLD01000000HAIJ46,6,1163536.348195292,1732499.5548355686,35.575040159801254,129.30476689665315,153.759995
BLD01000000HAIJ46,6,1163536.348195292,1732499.5548355686,35.575040159801254,129.30476689665315,164.67499550000002
BLD01000000HAIJ46,6,1163536.348195292,1732499.5548355686,35.575040159801254,129.30476689665315,175.589996
BLD01000000HAIJ46,7,1163541.1012812462,1732488.143698557,35.574936536293016,129.3048170203142,153.759995
BLD01000000HAIJ46,7,1163541.1012812462,1732488.143698557,35.574936536293016,129.3048170203142,164.67499550000002
BLD01000000HAIJ46,7,1163541.1012812462,1732488.143698557,35.574936536293016,129.3048170203142,175.589996
BLD01000000HAIJ46,7,1163531.6655307063,1732484.368406075,35.574904071804745,129.30471217148482,153.759995
BLD01000000HAIJ46,7,1163531.6655307063,1732484.368406075,35.574904071804745,129.30471217148482,164.67499550000002
BLD01000000HAIJ46,7,1163531.6655307063,1732484.368406075,35.574904071804745,129.30471217148482,175.589996
BLD01000000HAIJ46,7,1163522.2297801664,1732480.5931135928,35.57487160722259,129.30460732273664,153.759995
BLD01000000HAIJ46,7,1163522.2297801664,1732480.5931135928,35.57487160722259,129.30460732273664,164.67499550000002
BLD01000000HAIJ46,7,1163522.2297801664,1732480.5931135928,35.57487160722259,129.30460732273664,175.589996
BLD01000000HAIJ46,8,1163512.7940296265,1732476.8178211108,35.57483914254652,129.30450247406972,153.759995
BLD01000000HAIJ46,8,1163512.7940296265,1732476.8178211108,35.57483914254652,129.30450247406972,164.67499550000002
BLD01000000HAIJ46,8,1163512.7940296265,1732476.8178211108,35.57483914254652,129.30450247406972,175.589996
BLD01000000HI97H6,1,1163531.878713495,1732966.722895805,35.5792510604939,129.3048120683027,133.5979
BLD01000000HI97H6,1,1163531.878713495,1732966.722895805,35.5792510604939,129.3048120683027,135.0979
BLD01000000HI97H6,2,1163525.9067307592,1732960.09280342,35.57919229620082,129.3047448471535,133.5979
BLD01000000HI97H6,2,1163525.9067307592,1732960.09280342,35.57919229620082,129.3047448471535,135.0979
BLD01000000HI97H6,3,1163520.9457952739,1732964.8183329876,35.57923570272781,129.30469107601365,133.5979
