receiver_id,reference,type,big_grid_id,x_epsg5179,y_epsg5179,lat,lon,alt
9802,BLD01000000389ASW,building,0007_0004,1163713.6282049,1732417.5929760,35.5742722,129.3067059,161.5500030
9803,,terrain,0007_0004,1163715.0000000,1732415.0000000,35.5742486,129.3067205,158.6923024
9804,,terrain,0007_0004,1163725.0000000,1732415.0000000,35.5742470,129.3068308,158.3681836
9805,,terrain,0007_0004,1163735.0000000,1732415.0000000,35.5742453,129.3069411,158.0950813
9806,BLD01000000389BDI,building,0007_0004,1163738.0944451,1732413.9313682,35.5742352,129.3069750,178.1900020
9807,BLD01000000389BDI,building,0007_0004,1163738.0944451,1732413.9313682,35.5742352,129.3069750,169.9199980
9808,BLD01000000389BDI,building,0007_0004,1163738.0944451,1732413.9313682,35.5742352,129.3069750,161.6499940
9809,BLD01000000389BDI,roof,0007_0004,1163746.9828979,1732414.4972158,35.5742388,129.3070732,179.1900020
9810,BLD01000000389BDI,building,0007_0004,1163755.7954485,1732414.9238401,35.5742412,129.3071705,178.1900020
9811,BLD01000000389BDI,building,0007_0004,1163755.7954485,1732414.9238401,35.5742412,129.3071705,169.9199980
9812,BLD01000000389BDI,building,0007_0004,1163755.7954485,1732414.9238401,35.5742412,129.3071705,161.6499940
9813,,terrain,0007_0004,1163765.0000000,1732415.0000000,35.5742403,129.3072720,159.6376532
9814,,terrain,0007_0004,1163775.0000000,1732415.0000000,35.5742387,129.3073823,160.7936567
9815,,terrain,0007_0004,1163785.0000000,1732415.0000000,35.5742370,129.3074926,161.4368789
9816,,terrain,0007_0004,1163795.0000000,1732415.0000000,35.5742354,129.3076030,161.6507664
9817,BLD010000003678QO,building,0007_0004,1163796.6232276,1732415.1692596,35.5742366,129.3076209,174.2100070
9818,BLD010000003678QO,building,0007_0004,1163796.6232276,1732415.1692596,35.5742366,129.3076209,162.8399960
9819,,terrain,0007_0004,1163795.0000000,1732405.0000000,35.5741453,129.3076009,161.3922959
9820,BLD010000003676KG,building,0007_0004,1163787.4617010,1732400.4007259,35.5741051,129.3075168,182.1300050
9821,BLD010000003676KG,building,0007_0004,1163787.4617010,1732400.4007259,35.5741051,129.3075168,170.5450060
9822,BLD010000003676KG,building,0007_0004,1163787.4617010,1732400.4007259,35.5741051,129.3075168,158.9600070
