receiver_id,building_id,edge_no,ground_factor,type,grid_id,grid_order,x_epsg5179,y_epsg5179,lat,lon,alt
82,,,0.0703109,terrain,0000_0009,0,1163065.0000000,1732925.0000000,35.5789521,129.2996532,91.9852192
83,,,0.3744941,terrain,0000_0009,0,1163055.0000000,1732925.0000000,35.5789537,129.2995429,91.8159722
84,,,0.6536235,terrain,0000_0009,0,1163045.0000000,1732925.0000000,35.5789554,129.2994326,91.6866311
85,,,0.9755678,terrain,0000_0009,0,1163035.0000000,1732925.0000000,35.5789570,129.2993223,91.6678620
86,,,1.0000000,terrain,0000_0009,0,1163025.0000000,1732925.0000000,35.5789587,129.2992120,92.8867243
87,,,1.0000000,terrain,0000_0009,0,1163015.0000000,1732925.0000000,35.5789603,129.2991017,94.9507543
88,,,1.0000000,terrain,0000_0009,0,1163005.0000000,1732925.0000000,35.5789620,129.2989914,95.4538236
89,,,1.0000000,terrain,0000_0009,0,1163005.0000000,1732915.0000000,35.5788718,129.2989893,96.5164004
90,,,1.0000000,terrain,0000_0009,0,1163015.0000000,1732915.0000000,35.5788702,129.2990997,96.1709068
91,,,1.0000000,terrain,0000_0009,0,1163025.0000000,1732915.0000000,35.5788685,129.2992100,96.1101029
92,,,0.9265844,terrain,0000_0009,0,1163035.0000000,1732915.0000000,35.5788669,129.2993203,92.5078074
93,,,0.0000000,terrain,0000_0009,0,1163045.0000000,1732915.0000000,35.5788653,129.2994306,91.7060066
94,,,0.0000000,terrain,0000_0009,0,1163055.0000000,1732915.0000000,35.5788636,129.2995409,91.9952646
95,,,0.0000000,terrain,0000_0009,0,1163065.0000000,1732915.0000000,35.5788620,129.2996512,94.1510938
96,,,0.0000000,terrain,0000_0009,0,1163075.0000000,1732915.0000000,35.5788603,129.2997615,94.6510503
97,,,0.1881150,terrain,0000_0009,0,1163085.0000000,1732915.0000000,35.5788587,129.2998719,95.6359543
98,,,0.6095506,terrain,0000_0009,0,1163095.0000000,1732915.0000000,35.5788570,129.2999822,100.7989441
99,,,0.7718131,terrain,0000_0009,0,1163095.0000000,1732905.0000000,35.5787669,129.2999802,105.3507991
100,,,0.9277736,terrain,0000_0009,0,1163085.0000000,1732905.0000000,35.5787685,129.2998698,99.0785869
101,,,0.3725302,terrain,0000_0009,0,1163075.0000000,1732905.0000000,35.5787702,129.2997595,100.7025034
102,,,0.0274655,terrain,0000_0009,0,1163065.0000000,1732905.0000000,35.5787718,129.2996492,94.7728256
103,,,0.0000000,terrain,0000_0009,0,1163055.0000000,1732905.0000000,35.5787735,129.2995389,92.4020340
104,,,0.0000000,terrain,0000_0009,0,1163045.0000000,1732905.0000000,35.5787751,129.2994286,91.9982955
105,,,0.7457179,terrain,0000_0009,0,1163035.0000000,1732905.0000000,35.5787768,129.2993183,94.7505341
106,,,1.0000000,terrain,0000_0009,0,1163025.0000000,1732905.0000000,35.5787784,129.2992080,96.8740263
107,,,1.0000000,terrain,0000_0009,0,1163015.0000000,1732905.0000000,35.5787801,129.2990976,99.5563039
108,,,1.0000000,terrain,0000_0009,0,1163005.0000000,1732905.0000000,35.5787817,129.2989873,99.7555712
109,,,1.0000000,terrain,0001_0009,1,1163105.0000000,1732995.0000000,35.5795763,129.3001086,90.8086120
110,,,1.0000000,terrain,0001_0009,1,1163115.0000000,1732995.0000000,35.5795747,129.3002189,94.9149896
111,,,1.0000000,terrain,0001_0009,1,1163125.0000000,1732995.0000000,35.5795730,129.3003293,97.1427539
112,,,1.0000000,terrain,0001_0009,1,1163135.0000000,1732995.0000000,35.5795714,129.3004396,101.2769009
113,,,1.0000000,terrain,0001_0009,1,1163145.0000000,1732995.0000000,35.5795697,129.3005499,104.6575709
114,,,1.0000000,terrain,0001_0009,1,1163155.0000000,1732995.0000000,35.5795681,129.3006602,106.3903000
115,,,1.0000000,terrain,0001_0009,1,1163165.0000000,1732995.0000000,35.5795664,129.3007705,105.9469474
116,,,1.0000000,terrain,0001_0009,1,1163175.0000000,1732995.0000000,35.5795648,129.3008808,106.1317033
117,,,1.0000000,terrain,0001_0009,1,1163185.0000000,1732995.0000000,35.5795631,129.3009912,106.0887027
118,,,1.0000000,terrain,0001_0009,1,1163195.0000000,1732995.0000000,35.5795615,129.3011015,106.0803858
119,,,1.0000000,terrain,0001_0009,1,1163195.0000000,1732985.0000000,35.5794714,129.3010995,106.5993700
120,,,1.0000000,terrain,0001_0009,1,1163185.0000000,1732985.0000000,35.5794730,129.3009891,107.1517560
121,,,1.0000000,terrain,0001_0009,1,1163175.0000000,1732985.0000000,35.5794747,129.3008788,107.8462214
122,,,1.0000000,terrain,0001_0009,1,1163165.0000000,1732985.0000000,35.5794763,129.3007685,107.3432212
123,,,1.0000000,terrain,0001_0009,1,1163155.0000000,1732985.0000000,35.5794780,129.3006582,106.5856519
124,,,1.0000000,terrain,0001_0009,1,1163145.0000000,1732985.0000000,35.5794796,129.3005479,104.0637401
125,,,1.0000000,terrain,0001_0009,1,1163135.0000000,1732985.0000000,35.5794813,129.3004376,99.7038525
126,,,1.0000000,terrain,0001_0009,1,1163125.0000000,1732985.0000000,35.5794829,129.3003272,95.7540184
127,,,1.0000000,terrain,0001_0009,1,1163115.0000000,1732985.0000000,35.5794846,129.3002169,92.7222256
128,,,1.0000000,terrain,0001_0009,1,1163105.0000000,1732985.0000000,35.5794862,129.3001066,88.0321468
129,,,1.0000000,terrain,0001_0009,1,1163105.0000000,1732975.0000000,35.5793961,129.3001046,87.4659499
130,,,1.0000000,terrain,0001_0009,1,1163115.0000000,1732975.0000000,35.5793944,129.3002149,90.4951665
131,,,1.0000000,terrain,0001_0009,1,1163125.0000000,1732975.0000000,35.5793928,129.3003252,95.8436909
132,,,1.0000000,terrain,0001_0009,1,1163135.0000000,1732975.0000000,35.5793911,129.3004355,99.1902288
133,,,1.0000000,terrain,0001_0009,1,1163145.0000000,1732975.0000000,35.5793895,129.3005459,101.3978786
134,,,1.0000000,terrain,0001_0009,1,1163155.0000000,1732975.0000000,35.5793879,129.3006562,106.4752336
135,,,1.0000000,terrain,0001_0009,1,1163165.0000000,1732975.0000000,35.5793862,129.3007665,108.9829309
136,,,1.0000000,terrain,0001_0009,1,1163175.0000000,1732975.0000000,35.5793846,129.3008768,110.5518385
137,,,1.0000000,terrain,0001_0009,1,1163185.0000000,1732975.0000000,35.5793829,129.3009871,110.4468719
138,,,1.0000000,terrain,0001_0009,1,1163195.0000000,1732975.0000000,35.5793813,129.3010974,106.5708949
139,,,0.9842405,terrain,0001_0009,1,1163195.0000000,1732965.0000000,35.5792911,129.3010954,110.5019246
140,,,1.0000000,terrain,0001_0009,1,1163185.0000000,1732965.0000000,35.5792928,129.3009851,111.0921581
141,,,1.0000000,terrain,0001_0009,1,1163175.0000000,1732965.0000000,35.5792944,129.3008748,111.0941713
142,,,1.0000000,terrain,0001_0009,1,1163165.0000000,1732965.0000000,35.5792961,129.3007645,106.8232979
143,,,1.0000000,terrain,0001_0009,1,1163155.0000000,1732965.0000000,35.5792977,129.3006542,105.0057994
144,,,1.0000000,terrain,0001_0009,1,1163145.0000000,1732965.0000000,35.5792994,129.3005438,101.2152236
145,,,1.0000000,terrain,0001_0009,1,1163135.0000000,1732965.0000000,35.5793010,129.3004335,98.6681605
146,,,1.0000000,terrain,0001_0009,1,1163125.0000000,1732965.0000000,35.5793027,129.3003232,96.0184598
147,,,1.0000000,terrain,0001_0009,1,1163115.0000000,1732965.0000000,35.5793043,129.3002129,90.9291153
148,,,1.0000000,terrain,0001_0009,1,1163105.0000000,1732965.0000000,35.5793060,129.3001026,88.5808974
149,,,1.0000000,terrain,0001_0009,1,1163105.0000000,1732955.0000000,35.5792159,129.3001006,90.0899662
150,,,1.0000000,terrain,0001_0009,1,1163115.0000000,1732955.0000000,35.5792142,129.3002109,91.9102617
151,,,1.0000000,terrain,0001_0009,1,1163125.0000000,1732955.0000000,35.5792126,129.3003212,96.5034068
152,,,1.0000000,terrain,0001_0009,1,1163135.0000000,1732955.0000000,35.5792109,129.3004315,97.4940597
153,,,1.0000000,terrain,0001_0009,1,1163145.0000000,1732955.0000000,35.5792093,129.3005418,100.8983139
154,,,1.0000000,terrain,0001_0009,1,1163155.0000000,1732955.0000000,35.5792076,129.3006521,102.8468938
155,,,1.0000000,terrain,0001_0009,1,1163165.0000000,1732955.0000000,35.5792060,129.3007625,106.8119555
156,,,0.9825337,terrain,0001_0009,1,1163175.0000000,1732955.0000000,35.5792043,129.3008728,110.0669800
157,,,0.6956216,terrain,0001_0009,1,1163185.0000000,1732955.0000000,35.5792027,129.3009831,111.3454081
158,,,0.2177191,terrain,0001_0009,1,1163195.0000000,1732955.0000000,35.5792010,129.3010934,110.7759788
159,,,0.0000000,terrain,0001_0009,1,1163195.0000000,1732945.0000000,35.5791109,129.3010914,111.3244511
160,,,0.0000000,terrain,0001_0009,1,1163185.0000000,1732945.0000000,35.5791125,129.3009811,110.4820076
161,,,0.2067499,terrain,0001_0009,1,1163175.0000000,1732945.0000000,35.5791142,129.3008708,108.2410233
162,,,0.6829455,terrain,0001_0009,1,1163165.0000000,1732945.0000000,35.5791158,129.3007604,106.3597571
163,,,0.9807435,terrain,0001_0009,1,1163155.0000000,1732945.0000000,35.5791175,129.3006501,102.2787371
164,,,0.7822223,terrain,0001_0009,1,1163145.0000000,1732945.0000000,35.5791191,129.3005398,101.3839028
165,,,0.3695902,terrain,0001_0009,1,1163135.0000000,1732945.0000000,35.5791208,129.3004295,97.5406157
166,,,0.1957641,terrain,0001_0009,1,1163125.0000000,1732945.0000000,35.5791224,129.3003192,96.7126532
167,,,0.1906823,terrain,0001_0009,1,1163115.0000000,1732945.0000000,35.5791241,129.3002089,91.8553522
168,,,0.1856004,terrain,0001_0009,1,1163105.0000000,1732945.0000000,35.5791257,129.3000985,92.2144051
169,,,0.0000000,terrain,0001_0009,1,1163105.0000000,1732935.0000000,35.5790356,129.3000965,93.0063528
170,,,0.0214771,terrain,0001_0009,1,1163115.0000000,1732935.0000000,35.5790340,129.3002068,95.5719954
171,,,0.3392741,terrain,0001_0009,1,1163125.0000000,1732935.0000000,35.5790323,129.3003172,99.0470662
172,,,0.9138882,terrain,0001_0009,1,1163135.0000000,1732935.0000000,35.5790307,129.3004275,100.7635305
173,,,0.8321140,terrain,0001_0009,1,1163145.0000000,1732935.0000000,35.5790290,129.3005378,101.5108966
174,,,0.4107939,terrain,0001_0009,1,1163155.0000000,1732935.0000000,35.5790274,129.3006481,103.0607289
175,,,0.0000000,terrain,0001_0009,1,1163165.0000000,1732935.0000000,35.5790257,129.3007584,105.8436074
176,,,0.0000000,terrain,0001_0009,1,1163175.0000000,1732935.0000000,35.5790241,129.3008687,108.9444243
177,,,0.0000000,terrain,0001_0009,1,1163185.0000000,1732935.0000000,35.5790224,129.3009790,110.5936478
178,,,0.0000000,terrain,0001_0009,1,1163195.0000000,1732935.0000000,35.5790208,129.3010894,112.0403130
179,,,0.1559058,terrain,0001_0009,1,1163195.0000000,1732925.0000000,35.5789307,129.3010873,111.8111359
180,,,0.0000000,terrain,0001_0009,1,1163185.0000000,1732925.0000000,35.5789323,129.3009770,111.4569320
181,,,0.0000000,terrain,0001_0009,1,1163175.0000000,1732925.0000000,35.5789340,129.3008667,109.2071943
182,,,0.0000000,terrain,0001_0009,1,1163165.0000000,1732925.0000000,35.5789356,129.3007564,107.0427199
183,,,0.0000000,terrain,0001_0009,1,1163155.0000000,1732925.0000000,35.5789372,129.3006461,104.5443831
184,,,0.0868929,terrain,0001_0009,1,1163145.0000000,1732925.0000000,35.5789389,129.3005358,102.6828206
