reference,x_epsg5179,y_epsg5179,lat,lon,alt
,1163645.0000000,1732005.0000000,35.5705652,129.3058654,107.7072306
,1163655.0000000,1732005.0000000,35.5705636,129.3059757,107.9716053
,1163665.0000000,1732005.0000000,35.5705619,129.3060860,109.6690709
,1163675.0000000,1732005.0000000,35.5705603,129.3061963,111.4470651
,1163685.0000000,1732005.0000000,35.5705586,129.3063066,114.1054186
,1163695.0000000,1732005.0000000,35.5705570,129.3064169,116.6923212
,1163705.0000000,1732005.0000000,35.5705553,129.3065272,120.5237083
,1163715.0000000,1732005.0000000,35.5705537,129.3066375,122.1851977
,1163725.0000000,1732005.0000000,35.5705520,129.3067478,125.6460676
,1163735.0000000,1732005.0000000,35.5705503,129.3068581,126.8183094
,1163745.0000000,1732005.0000000,35.5705487,129.3069684,127.0405742
,1163755.0000000,1732005.0000000,35.5705470,129.3070787,125.2307475
,1163765.0000000,1732005.0000000,35.5705454,129.3071890,121.5889647
,1163775.0000000,1732005.0000000,35.5705437,129.3072993,119.1300882
,1163785.0000000,1732005.0000000,35.5705421,129.3074096,115.3815941
,1163795.0000000,1732005.0000000,35.5705404,129.3075199,110.7154794
,1163805.0000000,1732005.0000000,35.5705388,129.3076302,106.3070605
,1163815.0000000,1732005.0000000,35.5705371,129.3077405,102.3050255
,1163825.0000000,1732005.0000000,35.5705355,129.3078508,100.5101078
,1163835.0000000,1732005.0000000,35.5705338,129.3079611,97.0573423
,1163845.0000000,1732005.0000000,35.5705322,129.3080714,96.4860891
,1163855.0000000,1732005.0000000,35.5705305,129.3081817,94.8417017
,1163865.0000000,1732005.0000000,35.5705288,129.3082920,91.2815147
,1163875.0000000,1732005.0000000,35.5705272,129.3084024,86.9062319
,1163885.0000000,1732005.0000000,35.5705255,129.3085127,85.3705051
,1163895.0000000,1732005.0000000,35.5705239,129.3086230,81.9962532
,1163905.0000000,1732005.0000000,35.5705222,129.3087333,81.6044967
,1163915.0000000,1732005.0000000,35.5705206,129.3088436,84.6036946
,1163925.0000000,1732005.0000000,35.5705189,129.3089539,86.2925069
,1163935.0000000,1732005.0000000,35.5705173,129.3090642,86.8785460
,1163945.0000000,1732005.0000000,35.5705156,129.3091745,89.2065300
,1163955.0000000,1732005.0000000,35.5705139,129.3092848,91.6101416
,1163965.0000000,1732005.0000000,35.5705123,129.3093951,93.0032579
,1163975.0000000,1732005.0000000,35.5705106,129.3095054,96.5385230
,1163985.0000000,1732005.0000000,35.5705090,129.3096157,98.4461618
,1163995.0000000,1732005.0000000,35.5705073,129.3097260,101.5025598
,1163005.0000000,1732015.0000000,35.5707609,129.2988079,126.3721235
,1163015.0000000,1732015.0000000,35.5707593,129.2989182,126.1186960
,1163025.0000000,1732015.0000000,35.5707576,129.2990285,123.7923739
,1163035.0000000,1732015.0000000,35.5707560,129.2991389,121.0126285
,1163045.0000000,1732015.0000000,35.5707543,129.2992492,116.6391711
,1163055.0000000,1732015.0000000,35.5707527,129.2993595,112.4477878
,1163065.0000000,1732015.0000000,35.5707510,129.2994698,108.3373461
,1163075.0000000,1732015.0000000,35.5707494,129.2995801,106.7045973
,1163085.0000000,1732015.0000000,35.5707478,129.2996904,106.0096291
,1163095.0000000,1732015.0000000,35.5707461,129.2998007,104.7147193
,1163105.0000000,1732015.0000000,35.5707445,129.2999110,104.3592062
,1163115.0000000,1732015.0000000,35.5707428,129.3000213,105.0150771
,1163125.0000000,1732015.0000000,35.5707412,129.3001316,106.3992841
,1163135.0000000,1732015.0000000,35.5707395,129.3002419,109.0837053
,1163145.0000000,1732015.0000000,35.5707379,129.3003522,111.1028690
,1163155.0000000,1732015.0000000,35.5707362,129.3004625,111.6605099
,1163165.0000000,1732015.0000000,35.5707346,129.3005728,112.8914688
,1163175.0000000,1732015.0000000,35.5707329,129.3006831,115.4782676
,1163185.0000000,1732015.0000000,35.5707313,129.3007934,116.3662273
,1163195.0000000,1732015.0000000,35.5707296,129.3009037,116.8595470
